exp,tf,in_filtered_279,profile_id,biosample,knock_method,platform,own_logfc,own_gene_measured,regulon_size,has_self_edge,self_edge_weight,frac_regulon_default,n_studymates,max_jaccard,base_rate10,base_rate5,self_edge_sign_decision,ulm_unmasked_frac,ulm_unmasked_hit10,ulm_unmasked_hit5,ulm_masked_frac,ulm_masked_hit10,ulm_masked_hit5,ulm_masked_symmetric_frac,ulm_masked_symmetric_hit10,ulm_masked_symmetric_hit5,ulm_noselfedge_frac,ulm_noselfedge_hit10,ulm_noselfedge_hit5,ulm_noother_frac,ulm_noother_hit10,ulm_noother_hit5,propagated_unmasked_frac,propagated_unmasked_hit10,propagated_unmasked_hit5,propagated_masked_frac,propagated_masked_hit10,propagated_masked_hit5
DataSet_01_357,CDX2,True,GSE30181,COLO320,siRNA,GPL4133,-1.29555,True,77,True,1.0,0.0,0,0.23232323,0.08167770419426049,0.03200883002207505,PMID,0.6879895561357703,False,False,0.7493472584856397,False,False,0.6984334203655352,False,False,0.7480417754569191,False,False,0.6866840731070496,False,False,0.9412532637075718,False,False,0.9765013054830287,False,False
DataSet_03_047,CEBPA,False,GSE31912,MCF7,siRNA,GPL570,-0.4981593,True,228,True,1.0,0.0,77,0.25852272,0.10485651214128035,0.052980132450331126,PMID,0.04308093994778068,True,True,0.05483028720626632,True,False,0.06657963446475196,True,False,0.05483028720626632,True,False,0.04177545691906005,True,True,0.0039164490861618795,True,True,0.014360313315926894,True,True
DataSet_03_048,CEBPB,False,GSE31912,MCF7,siRNA,GPL570,-0.1236617,True,444,True,1.0,0.6734234234234234,77,0.26153848,0.16574585635359115,0.09281767955801105,PMID,0.0587467362924282,True,False,0.06135770234986945,True,False,0.0783289817232376,True,False,0.06135770234986945,True,False,0.0587467362924282,True,False,0.35509138381201044,False,False,0.5404699738903395,False,False
DataSet_03_049,CEBPB,True,GSE41473,hESC,siRNA,GPL571,-2.360576,True,444,True,1.0,0.6734234234234234,0,0.26153848,0.16574585635359115,0.09281767955801105,PMID,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.009138381201044387,True,True,0.024804177545691905,True,True
DataSet_01_074,CEBPD,True,GSE31534,A375,siRNA,GPL570,-1.47847,True,94,True,-1.0,0.6276595744680851,11,0.16602316,0.1569060773480663,0.07513812154696133,PMID,0.23237597911227154,False,False,0.12532637075718014,False,False,0.21018276762402088,False,False,0.12924281984334204,False,False,0.22845953002610966,False,False,0.02610966057441253,True,True,0.04046997389033943,True,True
DataSet_03_050,CEBPD,False,GSE31912,MCF7,siRNA,GPL570,-0.4348297,True,94,True,-1.0,0.6276595744680851,77,0.16602316,0.1569060773480663,0.07513812154696133,PMID,0.5861618798955613,False,False,0.49216710182767626,False,False,0.48825065274151436,False,False,0.4934725848563969,False,False,0.5848563968668408,False,False,0.1227154046997389,False,False,0.23759791122715404,False,False
DataSet_01_075,CEBPZ,True,GSE31534,A375,siRNA,GPL570,-1.47229,True,18,False,,0.6666666666666666,11,0.1,0.07751937984496124,0.03433001107419712,,0.5221932114882507,False,False,0.5221932114882507,False,False,0.3681462140992167,False,False,0.5221932114882507,False,False,0.5221932114882507,False,False,0.6240208877284595,False,False,0.6919060052219321,False,False
DataSet_02_005,CEBPZ,False,ENCSR637EFF,K562,CRISPRedit,-,-0.39931,True,18,False,,0.6666666666666666,0,0.1,0.07751937984496124,0.03433001107419712,,0.06135770234986945,True,False,0.06135770234986945,True,False,0.20365535248041775,False,False,0.06135770234986945,True,False,0.06135770234986945,True,False,0.33159268929503916,False,False,0.34203655352480417,False,False
DataSet_02_118,CEBPZ,False,ENCSR929PXS,HepG2,shRNA,-,-0.56864,True,18,False,,0.6666666666666666,0,0.1,0.07751937984496124,0.03433001107419712,,0.7676240208877284,False,False,0.7676240208877284,False,False,0.7728459530026109,False,False,0.7676240208877284,False,False,0.7676240208877284,False,False,0.8655352480417755,False,False,0.8877284595300261,False,False
DataSet_02_176,CEBPZ,False,ENCSR977SOT,K562,siRNA,-,-0.63195,True,18,False,,0.6666666666666666,0,0.1,0.07751937984496124,0.03433001107419712,,0.45300261096605743,False,False,0.45300261096605743,False,False,0.45430809399477806,False,False,0.45300261096605743,False,False,0.45300261096605743,False,False,0.5378590078328982,False,False,0.5522193211488251,False,False
