exp,tf,study,cell,own_logfc,in_filtered_279,masked_frac,masked_sym_frac,base_rate10,base_rate10_sym,n_within_study_mates,n_same_cell_other_study_mates,in_106
DataSet_01_277,SALL4,GSE68959,H661,-1.96854,True,0.587467362924282,0.608355091383812,0.057458563535911604,0.06850828729281767,0,0,False
DataSet_01_278,AR,GSE68993,CWR22Pc,-0.59184,False,0.010443864229765013,0.009138381201044387,0.15959821428571427,0.16964285714285715,1,0,False
DataSet_01_280,ESRRA,GSE69661,293T,-1.91149,True,0.2950391644908616,0.2989556135770235,0.07743362831858407,0.06858407079646017,0,0,False
DataSet_01_281,MSX1,GSE69992,Dental Pulp Cells,-4.25376,True,0.03263707571801567,0.02349869451697128,0.08830022075055188,0.10375275938189846,0,0,False
DataSet_01_282,IRF7,GSE70190,Primary human bronchial epithelial cells,-1.8021,True,0.3237597911227154,0.5248041775456919,0.0640176600441501,0.0717439293598234,0,0,False
DataSet_01_283,AHR,GSE70200,THP-1,-1.92282,True,0.037859007832898174,0.06657963446475196,0.0640176600441501,0.0728476821192053,0,1,False
DataSet_01_286,TP53,GSE70479,JVM2,0.0,False,0.6018276762402088,0.3368146214099217,0.1318435754189944,0.1329608938547486,0,0,False
DataSet_01_287,NFYA,GSE70543,HCT1163,0.0723,False,0.020887728459530026,0.01174934725848564,0.17849223946784923,0.19401330376940132,0,0,False
DataSet_01_288,NFYA,GSE70543,H322,-0.40614,False,0.46736292428198434,0.402088772845953,0.17849223946784923,0.19401330376940132,0,0,False
DataSet_01_289,GRHL2,GSE71017,OVCA429,-0.27854,False,0.0195822454308094,0.10052219321148825,0.10619469026548672,0.10730088495575221,0,0,False
DataSet_01_290,SP3,GSE7102,JURKAT,-0.97463,False,0.737597911227154,0.6527415143603134,0.17439293598233996,0.19536423841059603,0,5,False
DataSet_01_291,JUN,GSE71977,BT549,-0.61763,False,0.9699738903394256,0.9477806788511749,0.2335928809788654,0.22914349276974416,0,2,False
DataSet_01_292,SNAI2,GSE72011,MCFDCIS,-0.42818,False,0.0026109660574412533,0.010443864229765013,0.18121546961325966,0.17569060773480663,0,0,False
DataSet_01_294,RELB,GSE73158,A549,-0.30257,False,0.5313315926892951,0.6475195822454308,0.10188261351052048,0.07198228128460686,0,7,False
DataSet_01_295,TFAP4,GSE74626,BE(2)-C,-3.08766,True,0.5783289817232375,0.3629242819843342,0.09933774834437085,0.11147902869757174,1,0,False
DataSet_01_296,MYCN,GSE74626,BE(2)-C,0.00377,False,0.030026109660574413,0.0039164490861618795,0.23136818687430477,0.22246941045606228,1,0,False
DataSet_01_297,EP300,GSE74742,KYSE150,0.0,False,0.8498694516971279,0.8054830287206266,0.08950276243093923,0.08950276243093923,0,0,False
DataSet_01_298,ARID1B,GSE75207,IRM90,-0.7345,False,0.4281984334203655,0.52088772845953,0.06181015452538632,0.06622516556291391,0,0,False
DataSet_01_299,SOX7,GSE75380,HUVEC,-1.87406,True,0.12532637075718014,0.037859007832898174,0.05187637969094923,0.039735099337748346,1,9,True
