exp,tf,ulm_frac,huber_frac,huber_weight_own_gene
DataSet_01_338,REST,0.0013054830287206266,0.0026109660574412533,0.05559438098377248
DataSet_01_339,KLF4,0.8133159268929504,0.6449086161879896,0.11475899293838039
DataSet_01_340,KLF7,0.4556135770234987,0.5522193211488251,0.15284569943429405
DataSet_01_342,KLF7,0.05613577023498695,0.5613577023498695,0.022536305772528603
DataSet_01_347,GATA3,0.7571801566579635,0.7180156657963447,0.24013958378674313
DataSet_01_348,HIF1A,0.0013054830287206266,0.024804177545691905,0.17579922657686942
DataSet_01_349,SOX2,0.006527415143603133,0.11096605744125326,0.22619000594854077
DataSet_01_354,ELK1,0.5248041775456919,0.45691906005221933,0.13456377833963343
DataSet_01_356,ETV4,0.8368146214099217,0.737597911227154,0.12897061320337921
DataSet_01_357,CDX2,0.6879895561357703,0.5939947780678851,0.10350844514094712
DataSet_01_360,SOX17,0.2154046997389034,0.5078328981723238,0.1558074880784671
DataSet_02_015,HOXB9,0.19973890339425587,0.013054830287206266,0.15343685855062225
DataSet_02_016,JUND,0.018276762402088774,0.06135770234986945,0.21530434965263803
DataSet_02_018,STAT2,0.07571801566579635,0.005221932114882507,0.09113895258601772
DataSet_02_023,STAT1,0.8955613577023499,0.6057441253263708,0.1293633746155724
DataSet_02_025,USF2,0.8681462140992167,0.9033942558746736,0.28207075828022793
DataSet_02_026,USF1,0.7702349869451697,0.3537859007832898,0.10455397465753997
DataSet_02_032,NFE2L1,0.015665796344647518,0.010443864229765013,0.3794380225922447
DataSet_02_033,TEAD2,0.8002610966057441,0.8093994778067886,0.08894778002812448
DataSet_02_039,RELA,0.0013054830287206266,0.0039164490861618795,0.19189758144347713
DataSet_02_040,TEAD4,0.741514360313316,0.7728459530026109,0.09749448414693983
DataSet_02_042,SP2,0.5600522193211488,0.6266318537859008,0.12760836093408995
DataSet_02_048,SMAD5,0.006527415143603133,0.0026109660574412533,0.12381593493331815
DataSet_02_054,ATF3,0.46866840731070497,0.6631853785900783,0.0840887291447012
DataSet_02_055,DLX1,0.6971279373368147,0.7010443864229765,0.11564845386789803
DataSet_02_061,RFX5,0.5195822454308094,0.6201044386422977,0.11105946832688708
DataSet_02_063,TRIM28,0.5731070496083551,0.6449086161879896,0.11653296597540487
DataSet_02_071,TFDP1,0.8929503916449086,0.9908616187989556,0.07511272504657679
DataSet_02_075,HMGA1,0.7480417754569191,0.7180156657963447,0.08002060546939403
DataSet_02_082,ZBTB33,0.21801566579634465,0.2454308093994778,0.2957994819433689
DataSet_02_104,HDGF,0.3133159268929504,0.12663185378590078,0.018244847394007793
DataSet_02_172,ZFX,0.7180156657963447,0.7767624020887729,0.0665483598367328
DataSet_02_185,CTCF,0.8720626631853786,0.5221932114882507,0.04957184533448357
DataSet_02_192,MAX,0.2989556135770235,0.2963446475195822,0.04996301084515847
DataSet_02_206,ZFX,0.42950391644908614,0.4725848563968668,0.03392863322589258
DataSet_03_004,AR,0.9360313315926893,0.9360313315926893,0.1735330798243449
DataSet_03_005,AR,0.7767624020887729,0.7389033942558747,0.1778383549047394
