exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_03_149,KLF5,1.0,True,+1,76,-1,0.03524804177545692,0.06135770234986945,0.06135770234986945
DataSet_03_150,KLF5,1.0,True,+1,76,-1,0.5574412532637075,0.6475195822454308,0.6449086161879896
DataSet_03_151,KLF5,1.0,True,+1,76,-1,0.2206266318537859,0.34073107049608353,0.34203655352480417
DataSet_03_155,MAFB,1.0,True,+1,46,-1,0.06788511749347259,0.15926892950391644,0.1618798955613577
DataSet_03_165,MITF,1.0,True,+1,109,-1,0.009138381201044387,0.009138381201044387,0.009138381201044387
DataSet_03_168,MITF,1.0,True,+1,109,-1,0.05483028720626632,0.06919060052219321,0.07571801566579635
DataSet_03_173,MYB,1.0,True,+1,177,-1,0.05221932114882506,0.10182767624020887,0.08746736292428199
DataSet_03_178,MYC,-1.0,True,-1,845,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_03_189,NCOA1,0.0,False,none,89,-1,0.005221932114882507,0.005221932114882507,0.005221932114882507
DataSet_03_190,NCOA2,1.0,True,+1,61,-1,0.005221932114882507,0.010443864229765013,0.010443864229765013
DataSet_03_191,NCOA3,1.0,True,+1,74,-1,0.660574412532637,0.8798955613577023,0.8746736292428199
DataSet_03_192,NCOR1,1.0,True,+1,88,-1,0.015665796344647518,0.13185378590078328,0.12924281984334204
DataSet_03_202,NR2F2,1.0,True,+1,79,-1,0.0013054830287206266,0.006527415143603133,0.006527415143603133
DataSet_03_205,PARK7,0.0,False,none,7,-1,0.4908616187989556,0.4908616187989556,0.4934725848563969
DataSet_03_207,PBX1,1.0,True,+1,62,-1,0.24151436031331594,0.706266318537859,0.7101827676240209
DataSet_03_208,PBX1,1.0,True,+1,62,-1,0.3720626631853786,0.6866840731070496,0.6814621409921671
DataSet_03_209,PBX1,1.0,True,+1,62,-1,0.5691906005221932,0.8276762402088773,0.8263707571801566
